周巧嫣	63	74.7	137.7
周听云	20	74.2	94.2
周菱华	23	69.7	92.7
周清舒	60	81.9	141.9
周清淑	20	81.9	101.9
周必琳	23	72.6	95.6
周小二	75.5	96.7	172.2
周憶霜	25	87.7	112.7
周妍柔	61.5	90.3	151.8
周妍儒	61	86.9	147.9
周妍如	61	84.7	145.7
周春蕾	65	75.3	140.3
周娜刘	62.5	85.8	148.3
周碧翠	63	69.7	132.7
周智玮	70.5	65.9	136.4
周婧璐	23	66.7	89.7
周子珍	20	87.5	107.5
周語薇	25	75.5	100.5
周婷昱	60	70.4	130.4
周訪真	25	83.1	108.1
周娜琳	22	84.4	106.4
周靈松	25	73.8	98.8
周澄宁	23	78.1	101.1
周卡娜	20.5	84.5	105.0
周芊丽	25	75.3	100.3
周红容	65	75.0	140.0
周怜寒	23	75.1	98.1
周從柳	25	81.1	106.1
周娜姝	80	76.3	156.3
周思洁	62.5	83.8	146.3
周尔悦	75.5	79.3	154.8
周易烟	61	76.7	137.7
周乐儿	75	80.2	155.2
周姿媛	77	76.4	153.4
周姿婷	77	76.4	153.4
周思杰	62	76.4	138.4
周嫦娥	60	85.8	145.8
周端静	78	72.7	150.7
周熙怡	60	76.5	136.5
周春莉	62	74.9	136.9
周淳倩	60	69.9	129.9
周清绮	20.5	65.9	86.4
周树艳	63	82.6	145.6
周姿婵	94	87.1	181.1
周令奇	20	84.4	104.4
周梅花	20	70.9	90.9
周冰双	60	82.6	142.6
周歌飞	20	81.3	101.3
周憬妍	20	86.5	106.5
周乐萱	23	72.1	95.1
周思絲	25	80.6	105.6
周怀梦	22	67.7	89.7
周书玥	100	76.3	176.3
周凤琳	23	79.2	102.2
周芷雪	22	77.7	99.7
周境怡	88	81.3	169.3
周雅眉	20	70.4	90.4
周芷巧	22.5	88.1	110.6
周綠露	25	69.1	94.1
周芷晴	22	77.2	99.2
周访儿	63	70.3	133.3
周恨山	62	82.1	144.1
周洋倩	65	70.8	135.8
周凤玲	20	85.8	105.8
周白曼	20.5	90.1	110.6
周春洁	62.5	83.8	146.3
周含娇	21	76.2	97.2
周庄雅	60.5	81.3	141.8
周茹雪	20	77.4	97.4
周盼楓	25	80.6	105.6
周果茵	24	70.1	94.1
周楼之	23	68.2	91.2
周秋怡	100	72.8	172.8
周妙竹	21	84.7	105.7
周成美	61.5	90.3	151.8
周欣妍	21.5	84.7	106.2
周雅媚	20	81.9	101.9
周访冬	20.5	82.0	102.5
周雅美	20	70.4	90.4
周琳晨	60	86.9	146.9
周晓山	73	73.8	146.8
周志芳	24	87.1	111.1
周忻愉	61	76.7	137.7
周娆倩	60.5	75.7	136.2
周雅芙	20	69.9	89.9
周媛瑷	73	74.1	147.1
周媛瑗	20.5	65.9	86.4
周雅懿	60	71.0	131.0
周怿悦	99	74.3	173.3
周菡洁	23	72.7	95.7
周聆雪	20	69.5	89.5
周晶晶	60	81.9	141.9
周海香	23	64.2	87.2
周督丽	60	79.8	139.8
周载文	63	82.1	145.1
周安琪	63	66.2	129.2
周青松	61.5	74.0	135.5
周祖萍	62	88.9	150.9
周芦甡	20	72.2	92.2
周生霞	60	76.0	136.0
周茹涛	23	74.1	97.1
周海霞	23	66.7	89.7
周青丝	96	70.1	166.1
周云梦	20.5	65.9	86.4
周家莹	22.5	85.8	108.3
周玥萱	62	87.1	149.1
周凝薇	20.5	80.6	101.1
周展文	22	73.3	95.3
周德娟	20.5	75.7	96.2
周晨颖	63	76.5	139.5
周鹤群	20	72.2	92.2
周秋晴	77	76.4	153.4
周涵柳	20	70.4	90.4
周素玲	80	70.8	150.8
周芬南	25	76.3	101.3
周凡松	20	83.9	103.9
周霞儿	61.5	80.4	141.9
周若枫	20	81.4	101.4
周秋巧	62	71.3	133.3
周棠华	20.5	65.9	86.4
周以雁	63	86.5	149.5
周燕姿	95.5	81.1	176.6
周悦可	60.5	82.0	142.5
周翠琴	63	79.2	142.2
周如安	95	66.0	161.0
周庆霞	20	72.8	92.8
周孤晴	24	70.1	94.1
周艳花	60	83.9	143.9
周谷丝	64	76.1	140.1
周孤秋	64	86.6	150.6
周典丽	64	85.7	149.7
周梦华	23	69.7	92.7
周怡蓝	65	82.5	147.5
周翠青	92	75.1	167.1
周珂妍	25	88.4	113.4
周莺儿	63	79.5	142.5
周怡兰	62	78.6	140.6
周佳悦	64	75.6	139.6
周红旭	22.5	86.3	108.8
周涵山	60.5	75.7	136.2
周朝雨	63	64.3	127.3
周梦槐	23	69.7	92.7
周世琳	63	72.6	135.6
周怡乐	72	87.1	159.1
周佳越	64	70.1	134.1
周津红	25	76.3	101.3
周靖巧	63	68.5	131.5
周小凝	63	76.8	139.8
周靖晴	75.5	81.3	156.8
周俊红	25	72.8	97.8
周暖梦	23	81.2	104.2
周靖秋	92	76.5	168.5
周小娜	75	87.5	162.5
周倩怡	100	76.3	176.3
周艳卉	63	85.3	148.3
周小南	75	80.9	155.9
周千雁	60.5	90.1	150.6
周凯慧	23	76.7	99.7
周怡冷	62.5	92.3	154.8
周如柏	60.5	76.0	136.5
周洗玉	22.5	88.1	110.6
周梓玥	63	64.2	127.2
周寅滨	63	78.7	141.7
周慧玲	20.5	75.7	96.2
周绢芳	20	83.3	103.3
周希新	64	69.6	133.6
周水云	20.5	89.7	110.2
周水悦	60.5	83.2	143.7
周静玲	75.5	73.8	149.3
周初彤	76.5	84.4	160.9
周慧美	20	84.1	104.1
周合瑞	63	60.7	123.7
周新雪	60	86.9	146.9
周雪娟	20	70.9	90.9
周可琪	23	72.6	95.6
周新艳	98	85.7	183.7
周怡琨	62	74.9	136.9
周新雅	60.5	81.3	141.8
周涵云	20	81.9	101.9
周樂真	25	83.1	108.1
周哲妍	25	88.4	113.4
周雁玉	23	77.5	100.5
周怡琪	62	74.9	136.9
周桂英	22	77.7	99.7
周涵槐	20.5	65.9	86.4
周艳蕙	60	85.2	145.2
周新瑶	78	71.2	149.2
周雪珍	20	70.9	90.9
周文妍	20	79.2	99.2
周若荷	20	81.4	101.4
周罗绮	22	67.7	89.7
周雪儿	63	70.3	133.3
周宁宁	63	69.7	132.7
周莞尔	23	81.2	104.2
周雪綠	20	72.2	92.2
周娜静	77.5	77.7	155.2
周枫婷	20.5	81.3	101.8
周乙文	60.5	84.3	144.8
周柔惠	62	76.4	138.4
周伯文	21	78.5	99.5
周安安	88	66.0	154.0
周琇芳	60	69.9	129.9
周韶颖	63	72.7	135.7
周淑燕	63	66.5	129.5
周谷兒	24	90.1	114.1
周玲暖	62	84.4	146.4
周柔怀	65	82.5	147.5
周美偲	65	68.6	133.6
周婧婉	60	69.5	129.5
周荟芳	25	80.1	105.1
周安白	60	70.2	130.2
周惜玉	63	77.5	140.5
周婉琳	60	81.4	141.4
周琇芬	60	69.9	129.9
周聽菡	22	72.5	94.5
周安柏	60.5	76.0	136.5
周柏岚	62	76.4	138.4
周妍歌	21	77.2	98.2
周善思	92	70.4	162.4
周均芳	64	87.1	151.1
周聽萱	22.5	87.5	110.0
周巧梅	20.5	90.1	110.6
周映香	25	72.8	97.8
周西华	63	60.7	123.7
周文洁	23	64.3	87.3
周半青	60	84.4	144.4
周向凡	23	71.9	94.9
周智宸	75	69.9	144.9
周尔文	23	67.2	90.2
周惠雪	20	77.4	97.4
周彤霞	21.5	82.4	103.9
周忠实	76	76.2	152.2
周浩英	20	69.5	89.5
周书竹	62.5	94.1	156.6
周三春	92	80.9	172.9
周小翠	95	88.5	183.5
周彬蔚	23	66.7	89.7
周蕾琦	22	74.7	96.7
周碧儿	60	75.1	135.1
周半芹	20.5	84.5	105.0
周采南	61.5	90.3	151.8
周玉英	20.5	90.1	110.6
周灵竹	23	80.8	103.8
周玉颖	20	76.8	96.8
周迎秋	98	64.2	162.2
周婉怡	91	64.2	155.2
周小春	92	80.9	172.9
周鸿彩	64	74.3	138.3
周朗丽	63	74.1	137.1
周采凝	21	86.9	107.9
周高妍	25	88.4	113.4
周昱瑛	72	83.1	155.1
周修洁	62.5	77.7	140.2
周又菱	60.5	82.2	142.7
周子珺	20.5	90.1	110.6
周涵畅	20.5	65.9	86.4
周紫芹	60	70.9	130.9
周紫琴	60	81.4	141.4
周漫妮	20	80.2	100.2
周倩仪	62.5	85.8	148.3
周紫琼	60	75.0	135.0
周芷天	22	73.3	95.3
周晶瑶	63	76.7	139.7
周南梅	25	68.6	93.6
周奇颖	21	90.9	111.9
周紫青	95	70.3	165.3
周月芬	20	71.7	91.7
周晶燕	73	66.5	139.5
周恬畅	62	88.9	150.9
周端雅	20.5	71.9	92.4
周艺莹	20.5	71.6	92.1
周又莲	63	70.7	133.7
周婷丹	60.5	82.2	142.7
周艺颖	23	81.9	104.9
周飞松	25	85.3	110.3
周思溪	62	83.1	145.1
周民慧	23	68.7	91.7
周凡露	20	88.8	108.8
周晶雪	20	77.4	97.4
周安萱	60	69.1	129.1
周蒂莲	20	72.8	92.8
周山雪	60	77.8	137.8
周白桃	20.5	84.5	105.0
周林菁	21	76.2	97.2
周安菡	63	60.7	123.7
周海蓝	20	75.0	95.0
周涧芳	20.5	73.8	94.3
周含卉	21	74.0	95.0
周意颖	63	78.8	141.8
周萧玉	21	73.0	94.0
周科英	25	68.6	93.6
周秋嵐	25	80.6	105.6
周妙旋	64	73.3	137.3
周水卉	23	76.0	99.0
周恨松	25	77.1	102.1
周毓琳	20.5	72.9	93.4
周芷诺	22.5	77.7	100.2
周汐茹	24	76.1	100.1
周晓丝	78	75.1	153.1
周雅琳	20.5	73.3	93.8
周怀莲	25	80.9	105.9
周雅林	23	64.3	87.3
周寻春	75	70.4	145.4
周敏秦	20	70.9	90.9
周夕文	63	91.5	154.5
周祉蓉	22.5	83.8	106.3
周欣彩	64	75.6	139.6
周改玲	24	87.1	111.1
周斯乔	60	81.9	141.9
周俨雅	20	74.2	94.2
周俊蓉	22.5	83.8	106.3
周郑燕	72.5	79.9	152.4
周凌倩	80	70.8	150.8
周寒松	23	74.1	97.1
周尋柔	25	81.1	106.1
周孤风	24	86.6	110.6
周哲丽	65	84.8	149.8
周含雁	24	76.1	100.1
周夏萍	22	88.9	110.9
周芫华	22	88.9	110.9
周如夏	75.5	82.6	158.1
周纯洁	62.5	77.7	140.2
周聪慧	61	78.0	139.0
周寄松	23	78.7	101.7
周聪睿	93	80.8	173.8
周元灵	23	71.1	94.1
周粟梅	60	77.4	137.4
周岸谷	21.5	84.7	106.2
周川梅	60	77.8	137.8
周元菱	23	68.7	91.7
周元柳	20	80.5	100.5
周雁安	63	64.1	127.1
周岳玲	24	84.7	108.7
周如波	60.5	76.0	136.5
周暖暖	60.5	72.9	133.4
周琳琳	20.5	72.9	93.4
周幸瑶	21	87.1	108.1
周亦槐	63	60.7	123.7
周怡潞	62.5	83.8	146.3
周涵双	63	74.1	137.1
周燕生	95	76.4	171.4
周海絲	20	72.2	92.2
周怡隆	72.5	76.1	148.6
周昊怡	74	86.6	160.6
周锦颖	60	78.7	138.7
周倩滢	65	84.8	149.8
周凝雁	23	75.1	98.1
周立婷	63	86.5	149.5
周唱吟	63	64.1	127.1
周小树	63	76.8	139.8
周思慧	62	87.1	149.1
周思卉	62	71.3	133.3
周新红	60	76.5	136.5
周煊悦	75	86.9	161.9
周世琼	60.5	81.1	141.6
周心莹	63	70.5	133.5
周痴灵	62	72.8	134.8
周程琳	20.5	73.3	93.8
周雨灵	21	79.4	100.4
周玲钰	77	84.4	161.4
周怜南	60.5	81.1	141.6
周周妍	61.5	84.7	146.2
周书蝶	77.5	85.8	163.3
周莹玫	20	84.1	104.1
周采雲	24	90.1	114.1
周雨琳	21	76.7	97.7
周芷蝶	22.5	85.8	108.3
周心语	63	68.7	131.7
周彦珺	22	76.4	98.4
周曼靈	20	72.2	92.2
周莹美	20	84.1	104.1
周美如	62.5	86.3	148.8
周美蓉	22.5	83.8	106.3
周冰蓮	20.5	70.8	91.3
周智洁	23	66.5	89.5
周隽雅	20.5	81.3	101.8
周婷旭	23	64.1	87.1
周惜雪	60	77.4	137.4
周影娟	60.5	75.7	136.2
周清雅	20	81.9	101.9
周幻曼	20.5	83.2	103.7
周旎旎	20	69.5	89.5
周焕芳	20	83.3	103.3
周艾希	61.5	84.7	146.2
周凝凡	23	73.8	96.8
周寻凝	23	66.5	89.5
周聽梅	22	78.3	100.3
周半凡	23	88.7	111.7
周寻南	60	70.4	130.4
周采倩	79	87.1	166.1
周含芙	24	87.1	111.1
周薪冉	22	83.5	105.5
周安静	95	67.9	162.9
周惠娟	20	69.9	89.9
周平宁	23	74.7	97.7
周卓然	79	70.1	149.1
周幻露	20	86.3	106.3
周余馥	61.5	81.9	143.4
周婉琴	60	81.4	141.4
周业文	23	82.1	105.1
周惠君	23	70.6	93.6
周妍和	21.5	84.4	105.9
周熙悦	60	86.9	146.9
周语燕	63	72.7	135.7
周风琴	22	74.9	96.9
周萍莉	23	79.2	102.2
周婉清	60	77.9	137.9
周亚玲	74	73.7	147.7
周红英	25	68.6	93.6
周盼柏	25	72.8	97.8
周娟秀	65	88.4	153.4
周木木	23	84.8	107.8
周家燕	62.5	77.7	140.2
周寒筠	20.5	73.3	93.8
周玮艺	60.5	78.8	139.3
周嘉妍	20	76.4	96.4
周觅露	20	75.0	95.0
周偌瑶	60.5	65.9	126.4
周山云	60.5	90.1	150.6
周晨艳	95.5	73.2	168.7
周好洁	20	67.9	87.9
周飞柏	25	72.8	97.8
周冬梅	20.5	90.1	110.6
周芬璇	25	84.8	109.8
周安綠	20.5	70.8	91.3
周炜茹	20.5	81.3	101.8
周凝芙	20.5	73.8	94.3
周宣莉	62	74.9	136.9
周媛晗	60	77.4	137.4
周玥有	90.5	86.3	176.8
周妙凡	24	82.6	106.6
周裴倪	60	85.8	145.8
周菲仪	23	77.5	100.5
周奥婷	70.5	81.3	151.8
周玉艳	63	83.1	146.1
周雅陽	20	67.9	87.9
周于娜	70	87.5	157.5
周凡桃	20	87.5	107.5
周玟洁	22.5	93.3	115.8
周禾悦	60.5	90.1	150.6
周雅可	23	77.5	100.5
周臻莹	20	81.7	101.7
周仲媛	63	65.1	128.1
周慧俊	20	84.1	104.1
周真如	94.5	94.1	188.6
周萦思	60.5	81.1	141.6
周陶然	78	75.1	153.1
周蕙若	24	70.2	94.2
周虹辉	22	87.1	109.1
周晓槐	23	78.1	101.1
周一冉	70.5	71.7	142.2
周伊琳	63	66.2	129.2
周沐子	21	78.0	99.0
周幼枫	63	72.6	135.6
周飞珍	25	75.0	100.0
周又梅	60	75.1	135.1
周华文	23	67.2	90.2
周春娜	80	75.0	155.0
周枚琴	21	76.7	97.7
周幼怡	88	75.0	163.0
周綠白	22.5	93.9	116.4
周运菱	63	78.1	141.1
周若南	23	64.2	87.2
周丽倩	80	80.1	160.1
周静美	60.5	81.1	141.6
周吉玟	20.5	70.8	91.3
周彦杉	22.5	92.3	114.8
周仁娜	75	71.7	146.7
周雪颖	23	76.5	99.5
周雪影	60.5	65.9	126.4
周梅霞	23	66.7	89.7
周一洁	63	78.9	141.9
周匡宁	23	60.7	83.7
周逸文	63	68.2	131.2
周思薇	65	75.3	140.3
周鑫乐	78	86.5	164.5
周云亭	20	70.4	90.4
周名玉	20	70.2	90.2
周雪莹	20.5	65.9	86.4
周添文	20.5	82.2	102.7
周悦襦	92	75.0	167.0
周厦洁	23	78.8	101.8
周永莹	23	68.7	91.7
周初香	61.5	90.3	151.8
周钗红	63	64.2	127.2
周雁珍	20	69.9	89.9
周小洁	63	76.8	139.8
周悦聆	75	69.5	144.5
周友儿	95	74.6	169.6
周水之	23	84.8	107.8
周永颖	20	76.8	96.8
周初夏	79	87.1	166.1
周雪羽	63	77.5	140.5
周沈然	64	70.1	134.1
周宾星	60	81.3	141.3
周平雅	23	86.5	109.5
周濮婵	61	72.5	133.5
周懷蓉	22.5	93.3	115.8
周悦苑	60	69.5	129.5
周悦远	98	66.7	164.7
周孤丹	21	74.2	95.2
周平蓝	20.5	81.1	101.6
周季萌	21	76.2	97.2
周静槐	63	78.1	141.1
周如珊	92.5	82.6	175.1
周程程	60	81.9	141.9
周百玉	20	70.2	90.2
周怡倩	100	75.0	175.0
周醉玉	23	62.1	85.1
周倩珊	97	70.8	167.8
周变玲	20	89.1	109.1
周香絲	25	80.6	105.6
周政儒	76	90.9	166.9
周雪翎	20	69.5	89.5
周元芹	20	71.7	91.7
周飛芹	25	83.1	108.1
周石英	60.5	90.1	150.6
周箫笛	24	70.2	94.2
周燕煊	73	82.2	155.2
周夜云	64	70.1	134.1
周元青	60	74.6	134.6
周元晴	20.5	89.7	110.2
周平乐	23	68.7	91.7
周静慧	60	81.7	141.7
周问丝	92	77.9	169.9
周悦阅	95.5	65.9	161.4
周青靈	24	89.8	113.8
周玉珍	20.5	84.5	105.0
周初楓	24	90.1	114.1
周亚妞	61.5	84.7	146.2
周妍凝	21	86.9	107.9
周宪玲	20.5	73.8	94.3
周亦松	60	82.6	142.6
周月蘅	20.5	72.4	92.9
周锦曦	75.5	77.8	153.3
周寒蝶	23	76.7	99.7
周香洁	22.5	83.8	106.3
周歆琳	60.5	72.9	133.4
周婧祺	20	81.4	101.4
周妍霓	21	86.9	107.9
周小红	60	80.9	140.9
周青歆	93	76.7	169.7
周憶香	25	81.1	106.1
周晴儿	78	64.3	142.3
周和蘧	21	82.3	103.3
周亦丝	98	65.1	163.1
周知文	21	74.2	95.2
周惠英	20	77.4	97.4
周乐宁	63	76.7	139.7
周婷钰	75.5	73.3	148.8
周惠颖	23	66.5	89.5
周灵韵	70	82.5	152.5
周溪瑶	23	77.5	100.5
周彩蕊	63	78.7	141.7
周易真	79	73.7	152.7
周易珍	64	73.7	137.7
周珺萍	20.5	65.9	86.4
周冰晴	23	65.1	88.1
周阳荣	61	80.8	141.8
周冰青	60	67.1	127.1
周琼思	65	73.5	138.5
周利娜	64	87.1	151.1
周彪英	20	69.5	89.5
周艾越	92	70.1	162.1
周卓妍	21.5	84.7	106.2
周闵妍	23	70.6	93.6
周齐红	60	81.3	141.3
周代冬	63	81.5	144.5
周乐荷	23	68.6	91.6
周冰巧	20	70.2	90.2
周芮美	25	76.3	101.3
周叶倩	95.5	75.7	171.2
周冰琴	23	66.2	89.2
周林茂	24	75.6	99.6
周姝艳	97	82.3	179.3
周痴梦	22	78.9	100.9
周安楓	20.5	70.8	91.3
周爾易	25	90.0	115.0
周痴梅	25	75.1	100.1
周代雲	20.5	91.1	111.6
周总丽	76.5	77.5	154.0
周骏逸	96	78.0	174.0
周韶容	95	85.8	180.8
周雨梅	24	75.6	99.6
周琦瑶	23	71.2	94.2
周艾云	64	70.1	134.1
周艾韵	92	85.7	177.7
周航杏	25	88.4	113.4
周阳冉	71	74.5	145.5
周津莹	22.5	85.8	108.3
周琦妍	23	64.4	87.4
周宏爽	64	73.3	137.3
周吕蒝	24	90.1	114.1
周妙夢	24	90.1	114.1
周玄穆	60	76.8	136.8
周巧婵	63	68.7	131.7
周南风	25	72.8	97.8
周琳菲	23	81.2	104.2
周秀涵	64	76.1	140.1
周艾可	61	84.7	145.7
周蕴和	23	76.4	99.4
周琳枫	20.5	72.9	93.4
周妙音	61.5	90.3	151.8
周冰珍	20.5	82.6	103.1
周征莹	21	87.1	108.1
周妙意	64	69.6	133.6
周紫婧	60	69.5	129.5
周蕴涵	20	74.2	94.2
周秀红	61.5	90.3	151.8
周雨真	64	73.7	137.7
周琳芳	20	83.3	103.3
周芷梅	22	77.7	99.7
周念巧	21	84.7	105.7
周晓桐	20.5	73.8	94.3
周雅琴	20.5	73.3	93.8
周晓彤	60	90.2	150.2
周念芹	24	73.7	97.7
周俞莹	62	87.1	149.1
周秋美	65	72.8	137.8
周丽文　	2	79.6	81.6
周琳秀	63	64.4	127.4
周琬倩	95	83.3	178.3
周盼儿	65	86.2	151.2
周颀秀	63	64.4	127.4
周玟丽	25	75.5	100.5
周合刕	20.5	70.8	91.3
周琳欣	20	77.6	97.6
周凡波	20	80.9	100.9
周贝倩	64	87.1	151.1
周艺蓉	23	81.9	104.9
周菀菀	23	69.7	92.7
周素彩	94	77.7	171.7
周莉萍	23	81.2	104.2
周偌颖	23	76.5	99.5
周欣艳	61	79.4	140.4
周艺冉	20.5	66.5	87.0
周向丽	20.5	73.6	94.1
周紫蕙	63	78.7	141.7
周雪蘭	20	72.2	92.2
周秋梅	65	68.6	133.6
周兴玲	20.5	75.7	96.2
周欣瑶	21	87.1	108.1
周颖哲	20.5	73.8	94.3
周姣蓉	22.5	83.8	106.3
周悦辉	60.5	65.9	126.4
周幼青	95	84.4	179.4
周幼晴	73	86.5	159.5
周小冉	78	91.1	169.1
周庆梅	20.5	67.4	87.9
周阿梅	60	86.9	146.9
周倩娴	97.5	85.8	183.3
周倩婧	62	77.7	139.7
周以菡	63	74.7	137.7
周缨婷	70.5	87.2	157.7
周幼琴	63	72.6	135.6
周芦坪	63	76.4	139.4
周嘉利	20	76.4	96.4
周瑶秀	75	69.5	144.5
周喜伶	23	70.6	93.6
周水彤	20	74.6	94.6
周雪桃	20	70.9	90.9
周谷香	21.5	90.3	111.8
周小蕊	60	83.9	143.9
周唱月	60.5	76.2	136.7
周倩媛	77	77.2	154.2
周星洁	62.5	83.8	146.3
周初翠	93	77.2	170.2
周微澜	20	76.9	96.9
周谷夏	24	87.1	111.1
周升悦	92.5	83.2	175.7
周庆美	20	84.1	104.1
周倾怡	60	76.5	136.5
周秀瑶	76	76.2	152.2
周荣昊	20	75.1	95.1
周永燕	60	76.8	136.8
周宏丹	21	78.5	99.5
周绮琴	23	79.2	102.2
周雪荷	20	81.4	101.4
周逸秀	95	69.5	164.5
周思懿	97	80.4	177.4
周缮颖	61	67.1	128.1
周秀燕	96	86.9	182.9
周秀艳	96	82.2	178.2
周涵蕾	20	75.5	95.5
周依美	64	86.6	150.6
周枫怡	60	76.5	136.5
周纪文	22	80.8	102.8
周静裴	63	78.1	141.1
周雪红	23	64.2	87.2
周秉文	21	74.2	95.2
周秀雅	64	76.1	140.1
周希月	21	78.5	99.5
周希悦	64	73.3	137.3
周悦箫	63	78.7	141.7
周默芝	20.5	73.8	94.3
周雪艳	60.5	73.2	133.7
周润丽	20.5	80.6	101.1
周宁乐	63	77.5	140.5
周秀雪	64	73.3	137.3
周寄亦	63	77.5	140.5
周雪瑶	20.5	65.9	86.4
周立琴	23	72.6	95.6
周世婷	78	86.5	164.5
周雪雁	20	77.9	97.9
周可儿	60	84.4	144.4
周玲玲	65	70.8	135.8
周巧夏	20.5	84.5	105.0
周凝丹	23	68.2	91.2
周凌娟	25	70.8	95.8
周玲灵	62	78.9	140.9
周婧林	23	70.3	93.3
周婧琳	20	81.4	101.4
周萍萍	23	69.7	92.7
周玲令	62.5	88.1	150.6
周安吉	60	66.0	126.0
周芸馨	65	79.7	144.7
周玲琳	22	84.4	106.4
周玲霖	22.5	77.7	100.2
周芸芸	25	70.8	95.8
周亚梅	64	75.6	139.6
周幻楓	20	74.2	94.2
周慧丽	20	74.2	94.2
周润萱	20	81.7	101.7
周忠燕	71	90.9	161.9
周娜红	25	76.3	101.3
周凝蝶	20	81.7	101.7
周玲立	62.5	88.1	150.6
周惜香	60	70.4	130.4
周可涵	23	86.5	109.5
周大梅	20	77.8	97.8
周虹琳	22	74.9	96.9
周采萱	21	76.2	97.2
周清莹	23	76.7	99.7
周冬菱	23	74.7	97.7
周芸茗	22	77.2	99.2
周青青	93.5	90.4	183.9
周冬柳	20	75.0	95.0
周书意	97	84.4	181.4
周萌阳	60	81.6	141.6
周迎梅	60	69.5	129.5
周巧芳	20.5	84.5	105.0
周雨婷	24	70.1	94.1
周巧凡	23	88.7	111.7
周靈菱	22	72.5	94.5
周尔曼	20.5	79.3	99.8
周娅玟	20	72.2	92.2
周雨晨	64	75.6	139.6
周书仪	62.5	85.8	148.3
周骊娜	65	87.1	152.1
周笑梅	62	77.7	139.7
周书艺	62	82.7	144.7
周书易	80	74.6	154.6
周娅琪	60	81.4	141.4
周歆美	60	76.5	136.5
周琳淼	20.5	81.3	101.8
周巧风	20	75.0	95.0
周憶菱	22	72.5	94.5
周寒凡	20.5	75.7	96.2
周菀柳	20	81.3	101.3
周品娟	25	75.0	100.0
周雨婵	61	87.1	148.1
周婉婷	70	77.9	147.9
